is_type,name,coord,district,address
银行,中国工商银行(维尼纶厂分理处),"117.877881,31.64489",巢湖市,皖维路巢维路路口附近
银行,中国建设银行24小时自助银行(巢湖长江路支行),"117.880213,31.619436",巢湖市,长江路城市之光A区5-1附近
银行,中国银行(巢湖城北支行),"117.88027,31.62063",巢湖市,安徽省合肥市巢柘路24号
银行,中国邮政储蓄银行ATM,"117.838352,31.711317",巢湖市,208省道(夏阁镇人民政府东南方100米)附近
银行,中国农业银行ATM(夏阁分理处),"117.838242,31.711366",巢湖市,巢柘路185号
银行,中国邮政储蓄银行ATM,"117.838352,31.711317",巢湖市,208省道(夏阁镇人民政府东南方100米)附近
银行,中国农业银行(夏阁分理处),"117.838181,31.711429",巢湖市,巢柘路185号
银行,中国农业银行ATM(夏阁分理处),"117.838242,31.711366",巢湖市,巢柘路185号
银行,中国银行24小时自助银行(皖维路),"117.877871,31.64514",巢湖市,安徽省合肥市中国邮政(皖维路北)
银行,中国邮政储蓄银行ATM(红塔储蓄),"117.87786,31.64524",巢湖市,安徽省合肥市中国邮政(皖维路北)
银行,巢湖市农村商业银行-24小时自助银行,"117.870449,31.599971",巢湖市,合肥市
银行,巢湖市农村商业银行(城南支行),"117.870379,31.600015",巢湖市,牡丹路66
银行,中国邮政储蓄银行ATM,"117.838352,31.711317",巢湖市,208省道(夏阁镇人民政府东南方100米)附近
银行,中国农业银行ATM(夏阁分理处),"117.838242,31.711366",巢湖市,巢柘路185号
银行,中国建设银行-24小时自助银行,"117.878398,31.644773",巢湖市,巢维路56号附近
银行,中国建设银行,"117.878452,31.644691",巢湖市,安徽省合肥市皖维路
银行,中国银行24小时自助银行(巢湖城北支行),"117.88032,31.620541",巢湖市,安徽省合肥市巢柘路24号
银行,中国建设银行(长江西路支行),"117.880616,31.619367",巢湖市,长江路城市之光A区5-1
银行,农村商业银行24小时自助银行(居巢区城北信用社),"117.880958,31.618863",巢湖市,长江东路115号附近
银行,中国信合(司集信用社),"117.914949,31.888165",巢湖市,合肥市巢湖市
银行,中国邮政储蓄银行(司集邮政支局),"117.914379,31.889431",巢湖市,安徽省合肥市巢湖市
银行,巢湖市农村商业银行(苏湾支行),"117.827383,31.883917",巢湖市,安徽省合肥市天河街道331省道西50米(居巢烟草分局苏湾中心管理所西北)
银行,中国农业银行(石涧分理处),"117.887237,31.431079",无为县,石涧镇
银行,中国农业银行ATM(石涧分理处),"117.887237,31.431079",无为县,208省道附近
银行,无为农村商业银行(石涧支行),"117.887437,31.431376",无为县,芜湖市无为县
银行,中国农业银行(石涧分理处),"117.887237,31.431079",无为县,石涧镇
银行,中国农业银行ATM(石涧分理处),"117.887237,31.431079",无为县,208省道附近
银行,农村商业银行ATM(石涧储蓄所),"117.88772,31.432921",无为县,208省道附近
银行,无为农村商业银行ATM,"117.887508,31.431475",无为县,芜湖市无为县
银行,中国农业银行(夏阁分理处),"117.838181,31.711429",巢湖市,巢柘路185号
银行,巢湖市农村商业银行(夏阁支行),"117.837884,31.712137",巢湖市,夏朱路与208省道交叉口东50米
银行,中国建设银行-24小时自助银行,"117.878398,31.644773",巢湖市,巢维路56号附近
银行,中国建设银行,"117.878452,31.644691",巢湖市,安徽省合肥市皖维路
银行,中国农业银行(夏阁分理处),"117.838181,31.711429",巢湖市,巢柘路185号
银行,巢湖市农村商业银行(夏阁支行),"117.837884,31.712137",巢湖市,夏朱路与208省道交叉口东50米
银行,中国工商银行24小时自助银行(金巢大道),"117.90479,31.642293",巢湖市,安徽省合肥市金巢大道8号(玉泉路和金巢大道交叉口)
银行,中国银行ATM,"117.869082,31.630289",巢湖市,凤凰山街道北外环路熙园小区东350米
银行,兴业银行(巢湖城市之光社区支行),"117.880364,31.62145",巢湖市,安徽省合肥市巢湖路城市之光小区E1幢1-2铺
银行,中国工商银行(南峰商务大厦东北),"117.880364,31.62145",巢湖市,合肥市
银行,中国信合(太平信用社),"117.925316,31.448473",无为县,芜湖市无为县
银行,农村商业银行ATM(石涧储蓄所),"117.88772,31.432921",无为县,208省道附近
银行,中国农业银行24小时自助银行,"117.827383,31.883917",巢湖市,331省道西50米
银行,徽商银行(巢湖苏湾支行),"117.825954,31.882504",巢湖市,安徽省合肥市苏湾镇西大街6号门面
银行,无为农村商业银行ATM,"117.887508,31.431475",无为县,芜湖市无为县
银行,农村商业银行ATM(石涧储蓄所),"117.88772,31.432921",无为县,208省道附近
银行,无为农村商业银行(石涧支行),"117.887437,31.431376",无为县,芜湖市无为县
银行,无为农村商业银行ATM,"117.887508,31.431475",无为县,芜湖市无为县
银行,无为农村商业银行(石涧支行),"117.887437,31.431376",无为县,芜湖市无为县
银行,中国农业银行(石涧分理处),"117.887237,31.431079",无为县,石涧镇
银行,巢湖农村商业银行,"117.86067,31.560171",巢湖市,合肥市
银行,巢湖农村商业银行atm,"117.86067,31.560171",巢湖市,安徽省合肥市农村商业银行(巢湖市银屏镇政府北)
银行,中国邮政储蓄银行(银屏邮政支局),"117.859752,31.560588",巢湖市,安徽省合肥市208省道(司法局银屏司法所斜对面)
银行,巢湖农村商业银行atm,"117.838112,31.713096",巢湖市,安徽省合肥市夏阁镇蟠龙新街(近夏阁国家税务分局)
银行,中国银行ATM,"117.869082,31.630289",巢湖市,凤凰山街道北外环路熙园小区东350米
银行,中国邮政储蓄银行ATM(城市之光万象商业街),"117.880383,31.62234",巢湖市,安徽省合肥市城市之光E5-1-02
银行,中国工商银行ATM(巢湖分行居巢支行),"117.880353,31.621741",巢湖市,安徽省合肥市安德利超市(城北分店)
银行,中国邮政储蓄银行(半汤邮政储蓄银行),"117.907717,31.633835",巢湖市,渡江路名仕嘉苑1-3号上铺
银行,兴业银行ATM(城市之光万象商业街),"117.880333,31.621601",巢湖市,巢湖路城市之光小区E1幢1-2(立业大药房南10米)
银行,无为农村商业银行ATM,"117.887508,31.431475",无为县,芜湖市无为县
银行,无为农村商业银行(石涧支行),"117.887437,31.431376",无为县,芜湖市无为县
银行,中国工商银行ATM,"117.891819,31.593714",巢湖市,裕溪路144号附近
银行,中国建设银行24小时自助银行,"117.890902,31.594295",巢湖市,向阳南路与裕溪路交叉口西北100米
银行,中国建设银行,"117.890267,31.59502",巢湖市,合肥市
银行,中国建设银行24小时自助银行,"117.890902,31.594295",巢湖市,向阳南路与裕溪路交叉口西北100米
银行,中国建设银行,"117.890267,31.59502",巢湖市,合肥市
银行,农村商业银行ATM(石涧储蓄所),"117.88772,31.432921",无为县,208省道附近
银行,中国信合(太平信用社),"117.925316,31.448473",无为县,芜湖市无为县
银行,中国农业银行ATM(石涧分理处),"117.887237,31.431079",无为县,208省道附近
银行,中国信合(太平信用社),"117.925316,31.448473",无为县,芜湖市无为县
银行,中国邮政储蓄银行24小时自助银行,"117.859576,31.560568",巢湖市,合肥市
银行,兴业银行ATM(城市之光万象商业街),"117.880333,31.621601",巢湖市,巢湖路城市之光小区E1幢1-2(立业大药房南10米)
银行,中国农业银行(石涧分理处),"117.887237,31.431079",无为县,石涧镇
银行,中国农业银行ATM(石涧分理处),"117.887237,31.431079",无为县,208省道附近
银行,巢湖农村商业银行,"117.86067,31.560171",巢湖市,合肥市
银行,巢湖农村商业银行atm,"117.86067,31.560171",巢湖市,安徽省合肥市农村商业银行(巢湖市银屏镇政府北)
银行,中国工商银行ATM,"117.891819,31.593714",巢湖市,裕溪路144号附近
银行,安徽巢湖扬子村镇银行-24小时自助银行(东塘南路支行),"117.887001,31.60092",巢湖市,向阳南路10-1号附近
银行,中国人民银行(巢湖市分行),"117.890179,31.619051",巢湖市,安徽省合肥市长江东路26号
银行,中国工商银行附行式自助银行(巢湖城北支行),"117.886357,31.620779",巢湖市,合肥市长江东路城市之光G5号楼
银行,巢湖农业,"117.872419,31.59208",巢湖市,合肥市巢湖市巢湖南路22号
银行,中国邮政储蓄银行(银屏邮政支局),"117.859752,31.560588",巢湖市,安徽省合肥市208省道(司法局银屏司法所斜对面)
银行,中国银行24小时自助银行(汇豪支行),"117.883081,31.599207",巢湖市,东塘路与安成路交叉口东南100米
银行,中国工商银行自助银行(巢湖汇豪支行),"117.882478,31.599747",巢湖市,合肥市安成路与朝阳路交叉口
银行,中国工商银行24小时自助银行(巢湖城北支行),"117.885044,31.619506",巢湖市,长江东路93号附近
银行,中国建设银行ATM,"117.884717,31.618125",巢湖市,安徽省合肥市天巢广场A-21
银行,中国工商银行(巢湖城北支行),"117.884614,31.619499",巢湖市,安徽省合肥市市辖区合肥市长江东路城市之光G5号楼
银行,中国建设银行,"117.878452,31.644691",巢湖市,安徽省合肥市皖维路
银行,中国建设银行-24小时自助银行,"117.878398,31.644773",巢湖市,巢维路56号附近
银行,中国邮政储蓄银行24小时自助银行,"117.859576,31.560568",巢湖市,合肥市
银行,中国银行24小时自助银行(汇豪支行),"117.883081,31.599207",巢湖市,东塘路与安成路交叉口东南100米
银行,中国工商银行(巢湖汇豪支行),"117.882447,31.600147",巢湖市,安徽省合肥市市辖区合肥市安成路与朝阳路交叉口
银行,交通银行24小时自助银行(团结东路),"117.88809,31.603739",巢湖市,光明行政村团结东路4号楼13号门面房(市民大药房隔壁)
银行,徽商银行(巢湖凤凰山支行),"117.884425,31.61749",巢湖市,向阳路265号
银行,中国邮政储蓄银行24小时自助银行(长江东路支行),"117.883913,31.618961",巢湖市,长江东路城市之光H区2-1号楼2号门面
银行,中国工商银行(维尼纶厂分理处),"117.877881,31.64489",巢湖市,皖维路巢维路路口附近
银行,中国邮政储蓄银行(灯塔营业所),"117.877871,31.64514",巢湖市,安徽省合肥市中国邮政(皖维路北)
银行,中国银行(巢湖路),"117.87452,31.596892",巢湖市,合肥市
银行,徽商银行24小时自助银行(巢湖支行),"117.887577,31.603751",巢湖市,合肥市团结东路9号
银行,徽商银行(巢湖支行),"117.887539,31.603823",巢湖市,团结东路团结小区9号楼
银行,中国邮政储蓄银行(长江东路支行),"117.883826,31.619026",巢湖市,安徽省合肥市长江东路城市之光H区2-1号楼2号门面
银行,中国银行(巢湖振巢支行),"117.889491,31.613332",巢湖市,合肥市东塘路
银行,中国邮政储蓄银行ATM(红塔储蓄),"117.87786,31.64524",巢湖市,安徽省合肥市中国邮政(皖维路北)
银行,中国邮政储蓄银行(灯塔营业所),"117.877871,31.64514",巢湖市,安徽省合肥市中国邮政(皖维路北)
银行,中国银行24小时自助银行(皖维路),"117.877871,31.64514",巢湖市,安徽省合肥市中国邮政(皖维路北)
银行,中国邮政储蓄银行ATM(红塔储蓄),"117.87786,31.64524",巢湖市,安徽省合肥市中国邮政(皖维路北)
银行,中国银行24小时自助银行(振巢支行),"117.889366,31.613086",巢湖市,安徽省合肥市向阳苑(C区)
银行,中国银行24小时自助银行(皖维路),"117.877871,31.64514",巢湖市,安徽省合肥市中国邮政(皖维路北)
银行,中国工商银行24小时自助银行(金巢大道),"117.90479,31.642293",巢湖市,安徽省合肥市金巢大道8号(玉泉路和金巢大道交叉口)
银行,中国邮政储蓄银行(半汤邮政储蓄银行),"117.907717,31.633835",巢湖市,渡江路名仕嘉苑1-3号上铺
银行,中国建设银行-24小时自助银行,"117.878398,31.644773",巢湖市,巢维路56号附近
银行,中国建设银行,"117.878452,31.644691",巢湖市,安徽省合肥市皖维路
银行,中国邮政ATM,"117.908048,31.633584",巢湖市,合肥市
